index,Date,Name,Sex,Country Killed,Organization,Nationality,Medium,Job,Coverage,Freelance,Local/Foreign,Source of Fire,Type of Death,Impunity (for Murder),Taken Captive,Threatened,Tortured,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
391,5/24/00,Miguel Gil Moreno de Mora,Male,Sierra Leone,The Associated Press,Spain,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
392,7/16/00,Shamsur Rahman,Male,Bangladesh,Janakantha,Bangladesh,"Print, Radio","Broadcast, Print Reporter",Crime,Yes,Local,Criminal Group,Murder,Yes,No,Yes,No,,,,,,,,,
393,7/16/00,Igor Domnikov,Male,Russia,Novaya Gazeta,Russia,Print,"Editor, Print Reporter","Business, Corruption, Culture",No,Local,Criminal Group,Murder,Partial,No,No,No,,,,,,,,,
394,7/26/00,Sergey Novikov,,Russia,Radio Vesna,,,,,,,,,,,,,,,,,,,,,
395,7/31/00,V. Selvaraj,,India,Nakkeeran,,,,,,,,,,,,,,,,,,,,,
396,8/10/00,Pradeep Bhatia,Male,India,The Hindustan Times,India,Print,Photographer,War,No,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
397,8/20/00,Thounaojam Brajamani Singh,,India,Manipur News,,,,,,,,,,,,,,,,,,,,,
398,9/10/00,Shefki Popova,,Yugoslavia,Rilindja,,,,,,,,,,,,,,,,,,,,,
399,9/16/00,Georgy Gongadze,Male,Ukraine,Ukrainska Pravda,Ukraine,Internet,Editor,Corruption,No,Local,Government Officials,Murder,Partial,Yes,No,Yes,,,,,,,,,
400,9/21/00,Iskandar Khatloni,,Russia, Radio Free Europe/Radio Liberty,,,,,,,,,,,,,,,,,,,,,
401,10/3/00,Sergey Ivanov,,Russia,Lada-TV,,,,,,,,,,,,,,,,,,,,,
402,10/16/00,Antonio Russo,,Georgia,Radio Radicale,,,,,,,,,,,,,,,,,,,,,
403,10/18/00,James Edwin Richards,,USA,Neighborhood News,,,,,,,,,,,,,,,,,,,,,
404,10/19/00,Mylvaganam Nimalarajan,Male,Sri Lanka,"BBC, Virakesari, Ravaya",Sri Lanka,"Print, Radio","Broadcast, Print Reporter",Corruption,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
405,10/27/00,Samuel Nduati,,Kenya,Citizen Radio,,,,,,,,,,,,,,,,,,,,,
406,10/28/00,Aziz Al-Tineh,,Israel and the Occupied Palestinian Territory, WAFA,,,,,,,,,,,,,,,,,,,,,
407,10/31/00,Juan Camilo Restrepo Guerra,Male,Colombia,Radio Galaxia Est_reo,Colombia,Radio,Producer,Corruption,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
408,11/17/00,Olimpio Jalapit Jr.,Male,Philippines,DXPR Radio,Philippines,Radio,Columnist,"Corruption, Crime",No,Local,Unknown Fire,Murder,Yes,No,Yes,No,,,,,,,,,
409,11/21/00,Adam Tepsurgayev,,Russia,Reuters,,,,,,,,,,,,,,,,,,,,,
410,11/22/00,Carlos Cardoso,Male,Mozambique,Metical,Mozambique,Print,Editor,"Business, Corruption, Crime",No,Local,Criminal Group,Murder,No,No,Yes,No,,,,,,,,,
411,11/30/00,Yuliy Mazur,,Ukraine,Yug,,,,,,,,,,,,,,,,,,,,,
412,12/15/00,G_rard Denoze,,Haiti, Radio Plus,,,,,,,,,,,,,,,,,,,,,
413,1/3/01,Roland Ureta,Male,Philippines,Radio DYKR,Philippines,Radio,Broadcast,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,No,No,,,,,,,,,
414,1/15/01,Feng Zhaoxia,Male,China,Gejie Daobao,China,Print,Print Reporter,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,Yes,Yes,No,,,,,,,,,
415,2/19/01,Jos_ Luis Ortega Mata,Male,Mexico,Semanario de Ojinaga,Mexico,Print,Editor,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,Yes,No,,,,,,,,,
416,2/23/01,Mohammad Yusop,,Philippines,Radio DXID,,,,,,,,,,,,,,,,,,,,,
417,3/20/01,Hidaya Sultan al-Salem,,Kuwait,Al-Majales,,,,,,,,,,,,,,,,,,,,,
418,3/29/01,Kerem Lawton,Male,Yugoslavia,Associated Press Television News,United Kingdom,Television,Producer,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
419,4/10/01,Withayut Sangsopit,Male,Thailand,Freelancer,Thailand,Radio,Broadcast,"Business, Corruption",No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
420,4/21/01,Nahar Ali,Male,Bangladesh,Anirban,Bangladesh,Print,Print Reporter,"Business, Corruption, Crime",No,Local,Government Officials,Murder,Yes,Yes,No,No,,,,,,,,,
421,4/27/01,Flavio Bedoya,Male,Colombia,Voz,Colombia,Print,Print Reporter,"Human Rights, Politics",No,Local,Paramilitary Group,Murder,Yes,No,No,No,,,,,,,,,
422,5/2/01,Kaset Puengpak,Male,Thailand,Thai Rath,Thailand,Print,Print Reporter,"Corruption, Crime",Yes,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
423,5/30/01,Candelario Cayona,Male,Philippines,Radio DXLL,Philippines,Radio,Columnist,"Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
424,5/31/01,Joy Mortel,,Philippines,Mindoro Guardian,,,,,,,,,,,,,,,,,,,,,
425,6/11/01,Milan Pantic,Male,Yugoslavia,Vecernje Novosti,Yugoslavia,Print,Print Reporter,"Business, Corruption, Crime",No,Local,Unknown Fire,Murder,Yes,No,Yes,No,,,,,,,,,
426,6/14/01,Fadila Nejma,Male,Algeria,Echourouk,Algeria,Print,Print Reporter,Human Rights,No,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
427,6/14/01,Adel Zerrouk,Male,Algeria,Al-Rai,Algeria,Print,Print Reporter,Human Rights,No,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
428,6/24/01,Oleh Breus,,Ukraine,XXI Vek,,,,,,,,,,,,,,,,,,,,,
429,7/7/01,Igor Aleksandrov,Male,Ukraine,Tor,Ukraine,Television,Producer,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
430,7/7/01,Parmenio Medina P_rez,Male,Costa Rica,"""La Patada""",Costa Rica,Radio,Producer,Corruption,No,Local,Unknown Fire,Murder,No,No,Yes,No,,,,,,,,,
431,7/17/01,Nicolas Giudici,,France,"Nice-Matin, Corse-Matin",,,,,,,,,,,,,,,,,,,,,
432,7/20/01,Ahsan Ali,,Bangladesh,Freelancer,,,,,,,,,,,,,,,,,,,,,
433,7/26/01,Georgy Sanaya,Male,Georgia,Rustavi-2,Georgia,Television,Broadcast,"Corruption, Politics",No,Local,Criminal Group,Murder,Partial,No,No,No,,,,,,,,,
434,7/29/01,Juan Carlos Encinas,Male,Bolivia,Freelancer,Bolivia,Print,Print Reporter,Human Rights,Yes,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
435,7/30/01,Moolchand Yadav,Male,India,Freelance,India,Print,Print Reporter,"Business, Corruption",Yes,Local,Criminal Group,Murder,Yes,No,No,No,,,,,,,,,
436,7/31/01,Muhammad al-Bishawi,Male,Israel and the Occupied Palestinian Territory,"Najah Press Office, IslamOnline",Palestinian Territory,"Print, Internet",Print Reporter,Politics,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
437,9/1/01,Asadullah,,Pakistan, Freelancer,,,,,,,,,,,,,,,,,,,,,
438,9/5/01,Marc Brunereau,Male,Afghanistan,freelance,France,Print,Print Reporter,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
439,9/11/01,William Biggart,Male,USA,freelance,United States,Print,Photographer,Crime,Yes,Foreign,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
440,9/18/01,Eduard Markevich,Male,Russia,Novy Reft,Russia,Print,"Editor, Publisher","Corruption, Politics",No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
441,9/28/01,Martin O'Hagan,Male,UK,Sunday World,United Kingdom,Print,Print Reporter,"Corruption, Crime, War",No,Foreign,Paramilitary Group,Murder,Yes,No,Yes,No,,,,,,,,,
442,10/5/01,Robert Stevens,Male,USA,The Sun,United States,Print,Editor,Culture,No,Local,Local Residents,Murder,No,No,No,No,,,,,,,,,
443,10/19/01,Bekim Kastrati,,Yugoslavia,Bota Sot,,,,,,,,,,,,,,,,,,,,,
444,11/11/01,Pierre Billaud,Male,Afghanistan,Radio T_l_vision Luxembourg,Belgium,Radio,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
445,11/11/01,Volker Handloik,Male,Afghanistan,freelance reporter,Germany,Print,Print Reporter,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
446,11/11/01,Johanne Sutton,Female,Afghanistan,Radio France Internationale,France,Radio,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
447,11/18/01,Settha Sririwat,,Thailand,"Naew Na, Channel 3",,,,,,,,,,,,,,,,,,,,,
448,11/18/01,Chuvit Chueharn,,Thailand,"iTV,  The Nation,  Krungthep Thurakij",,,,,,,,,,,,,,,,,,,,,
449,11/18/01,Suchart Charnchanavivat,,Thailand,"Chao Mukdahan, Siam Rath",,,,,,,,,,,,,,,,,,,,,
450,11/19/01,Harry Burton,Male,Afghanistan,Reuters Television,Australia,Television,Camera Operator,War,No,Foreign,Paramilitary Group,Murder,No,Yes,No,No,,,,,,,,,
451,11/19/01,Azizullah Haidari,Male,Afghanistan,Reuters,Afghanistan,Print,Photographer,War,No,Local,Paramilitary Group,Murder,No,Yes,No,No,,,,,,,,,
452,11/19/01,Julio Fuentes,Male,Afghanistan,El Mundo,Spain,Print,Print Reporter,War,No,Foreign,Paramilitary Group,Murder,No,Yes,No,No,,,,,,,,,
453,11/19/01,Maria Grazia Cutuli,Female,Afghanistan,Corriere della Serra,Italy,Print,Print Reporter,War,No,Foreign,Paramilitary Group,Murder,No,Yes,No,No,,,,,,,,,
454,11/26/01,Ulf Str_mberg,Male,Afghanistan,TV4,Sweden,Television,Camera Operator,War,No,Foreign,Criminal Group,Murder,Yes,No,No,No,,,,,,,,,
455,11/28/01,Gundars Matiss,Male,Latvia,Kurzeme Vards,Latvia,Print,Print Reporter,Crime,No,Local,Criminal Group,Murder,Partial,No,No,No,,,,,,,,,
456,12/3/01,Brignol Lindor,Male,Haiti,Radio Echo 2000,Haiti,Radio,"Columnist, Producer","Human Rights, Politics",No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
457,1/12/02,Jimmy Higenyi,Male,Uganda,United Media Consultants and Trainers,Uganda,Print,Print Reporter,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
458,3/2/02,Harunur Rashid,Male,Bangladesh,Dainik Purbanchal,Bangladesh,Print,Print Reporter,"Corruption, Crime",No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
459,3/9/02,Natalya Skryl,Female,Russia,Nashe Vremya,Russia,Print,Print Reporter,"Business, Corruption",No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
460,3/13/02,Raffaele Ciriello,Male,Israel and the Occupied Palestinian Territory,Freelancer,Italy,Print,Photographer,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
461,4/14/02,Paritosh Pandey,,India,Jansatta Express,,,,,,,,,,,,,,,,,,,,,
462,4/29/02,Valery Ivanov,Male,Russia,Tolyatinskoye Obozreniye,Russia,Print,Editor,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,No,No,,,,,,,,,
463,5/13/02,Edgar Damalerio,Male,Philippines,Zamboanga Scribe and DXKP Radio,Philippines,"Print, Radio","Columnist, Editor","Corruption, Crime",No,Local,Government Officials,Murder,Partial,No,No,No,,,,,,,,,
464,5/27/02,"Krishna Sen, Janadisha",,Nepal,Janadisha,,,,,,,,,,,,,,,,,,,,,
465,6/1/02,Nava Raj Sharma,Male,Nepal,Kadam,Nepal,Print,Editor,"Culture, Human Rights, Politics, War",No,Local,Political Group,Murder,Yes,,No,No,,,,,,,,,
466,6/3/02,Tim Lopes,Male,Brazil,TV Globo,Brazil,Television,Broadcast,Crime,No,Local,Criminal Group,Murder,No,Yes,No,Yes,,,,,,,,,
467,7/5/02,Shukur Hossain,Male,Bangladesh,Anirban,Bangladesh,Print,Print Reporter,"Corruption, Crime",No,Local,Political Group,Murder,Yes,,,No,,,,,,,,,
468,7/12/02,Imad Abu Zahra,Male,Israel and the Occupied Palestinian Territory,freelance,Palestinian Territory,Print,Photographer,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
469,8/3/02,Syed Farroque Ahmed,,Bangladesh,Pubali Barta,,,,,,,,,,,,,,,,,,,,,
470,8/22/02,Sonny Alcantara,Male,Philippines,"""Quo Vadis San Pablo"" and Kokus",Philippines,"Print, Television","Broadcast, Editor",Corruption,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
471,9/22/02,Issam Tillawi,Male,Israel and the Occupied Palestinian Territory,Voice of Palestine,Palestinian Territory,Radio,Broadcast,Human Rights,No,Local,Military Officials,Dangerous Assignment,,No,No,No,,,,,,,,,
472,9/26/02,Roddy Scott,Male,Russia,Frontline,United Kingdom,Television,"Broadcast, Camera Operator",War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
473,10/13/02,Yambem Meghajit Singh,,India,Northeast Vision,,,,,,,,,,,,,,,,,,,,,
474,10/20/02,Shahid Soomro,Male,Pakistan,Kawish,Pakistan,Print,Print Reporter,Human Rights,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
475,10/28/02,Jos_ Eli Escalante,,Colombia, La Voz de Cinaruco,,,,,,,,,,,,,,,,,,,,,
476,10/30/02,Mykhailo Kolomyets,,Belarus,Ukrainski Novyny,,,,,,,,,,,,,,,,,,,,,
477,11/21/02,Ram Chander Chaterpatti,Male,India,Poora Sach,India,Print,Editor,Crime,No,Local,Political Group,Murder,Yes,No,No ,No,,,,,,,,,
478,12/1/02,Gimbler Perdomo Zamora,,Colombia,Panorama Est_reo,,,,,,,,,,,,,,,,,,,,,
479,12/18/02,William Soto Cheng,,Colombia, Telemar,,,,,,,,,,,,,,,,,,,,,
480,12/28/02,Tirgran Nagdalian,,Armenia,Armenia Public Television,,,,,,,,,,,,,,,,,,,,,
481,1/21/03,Fazal Wahab,Male,Pakistan,freelance,Pakistan,Print,"Columnist, Print Reporter",Politics,Yes,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
482,1/24/03,Abdullahi Madkeer,Male,Somalia,DMC Radio,Somalia,Radio,Broadcast,Politics,No,Local,Paramilitary Group,Dangerous Assignment,,No,No,No,,,,,,,,,
483,1/30/03,Dhan Bahadur Rokka Magar,Male,Nepal,Radio Nepal,Nepal,Radio,Broadcast,,No,Local,Political Group,Murder,Yes,Yes,No,No,,,,,,,,,
484,1/31/03,Parvaz Mohammed Sultan,Male,India,News and Feature Alliance,India,Print,Editor,Politics,No,Local,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
485,2/11/03,Surapong Ritthi,,Thailand, freelance,,,,,,,,,,,,,,,,,,,,,
486,3/10/03,Oscar Salazar Jaramillo,,Colombia,Radio Sevilla,,,,,,,,,,,,,,,,,,,,,
487,3/18/03,Luis Eduardo Alfonso Parada,Male,Colombia,Radio Meridiano-70,Colombia,"Print, Radio","Broadcast, Print Reporter","Corruption, Human Rights, Politics, War",No,Local,Paramilitary Group,Murder,Yes,No,Yes,No,,,,,,,,,
488,3/22/03,Paul Moran,Male,Iraq,freelance,Australia,Television,Camera Operator,War,Yes,Foreign,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
489,3/22/03,Terry Lloyd,Male,Iraq,ITV News,United Kingdom,Television,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
490,3/22/03,Hussein Othman,,Iraq,ITV News,Iraq,,,,,,,,,,,,,,,,,,,,
491,4/2/03,Kaveh Golestan,Male,Iraq,freelance,Iran,Television,Camera Operator,War,Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
492,4/3/03,Michael Kelly,Male,Iraq,Atlantic Monthly and The Washington Post,United States,Print,"Columnist, Editor",War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
493,4/6/03,Jos_ Emeterio Rivas,Male,Colombia,Radio Calor Est_reo,Colombia,Radio,Columnist,"Corruption, Politics",No,Local,"Government Officials, Paramilitary Group",Murder,No,No,Yes,No,,,,,,,,,
494,4/6/03,Kamaran Abdurazaq Muhamed,,Iraq,BBC,Iraqi,,,,,,,,,,,,,,,,,,,,
495,4/7/03,Christian Liebig,Male,Iraq,Focus,Germany,Print,Print Reporter,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
496,4/7/03,Julio Anguita Parrado,Male,Iraq,El Mundo,Spain,Print,Print Reporter,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
497,4/8/03,Taras Protsyuk,Male,Iraq,Reuters,Iraq,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
498,4/8/03,Jos_ Couso,Male,Iraq,Telecinco,Spain,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
499,4/8/03,Tareq Ayyoub,Male,Iraq,Al-Jazeera,Jordan,Television,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
500,4/18/03,Dmitry Shvets,,Russia, TV-21 Northwestern Broadcasting,,,,,,,,,,,,,,,,,,,,,
501,4/19/03,Nazih Darwazeh,Male,Israel and the Occupied Palestinian Territory,APTN,Israel Occupied,Television,Camera Operator,"Human Rights, War",No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
502,5/2/03,James Miller,Male,Israel and the Occupied Palestinian Territory,freelance,United Kingdom,Television,Camera Operator,"Human Rights, War",Yes,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
503,5/17/03,"Apolinario ""Polly"" Pobeda",Male,Philippines,DWTI Radio,Philippines,Radio,Columnist,"Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
504,6/24/03,Indra Mohan Hakasam,,India,Amar Assam,,,,,,,,,,,,,,,,,,,,,
505,7/3/03,Yuri Shchekochikhin,Male,Russia,Novaya Gazeta,Russia,Print,"Editor, Print Reporter","Corruption, Human Rights, War",No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
506,7/5/03,Richard Wild,Male,Iraq,freelance,United Kingdom,Television,Camera Operator,War,Yes,Foreign,Unknown Fire,Murder,Yes,No,No,No,,,,,,,,,
507,7/6/03,Jeremy Little,Male,Iraq,NBC News,Australia,Television,Technician,War,Yes,Foreign,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
508,7/8/03,Bonifacio Gregorio,Male,Philippines,Dyaryo Banat,Philippines,Print,"Columnist, Print Reporter",Corruption,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
509,7/10/03,Zahra Kazemi,Female,Iran,freelance,Canada,Print,Photographer,Human Rights,Yes,Foreign,Government Officials,Murder,Yes,Yes,No,Yes,,,,,,,,,
510,8/17/03,Mazen Dana,Male,Iraq,Reuters,Palestinian Territory,Television,Camera Operator,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
511,8/19/03,Noel Villarante,Male,Philippines,DZJV Radio and Laguna Score,Philippines,"Print, Radio","Broadcast, Print Reporter","Corruption, Crime",No,Local,Government Officials,Murder,Yes,No,Yes,No,,,,,,,,,
512,8/20/03,Rico Ramirez,Male,Philippines,DXSF Radio,Philippines,Radio,Broadcast,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,Yes,No,No,,,,,,,,,
513,8/22/03,Juan Carlos Benavides Ar_valo,Male,Colombia,Manantial Est_reo,Colombia,Radio,Broadcast,Politics,No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
514,8/25/03,Ahmad Kareem,Male,Iraq,Kurdistan TV,Iraq,Television,Producer,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
515,9/6/03,Satoru Someya,Male,Japan,freelance,Japan,Print,Print Reporter,Crime,Yes,Local,Local Residents,Murder,No,Yes,No,No,,,,,,,,,
516,9/6/03,"Juan ""Jun"" Pala",Male,Philippines,DXGO Radio,Philippines,Radio,Columnist,"Corruption, Politics",No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
517,9/7/03,Gyanendra Khadka,Male,Nepal,Rastriya Samachar Samiti,Nepal,Print,Print Reporter,,No,Local,Political Group,Murder,Yes,Yes,No,No,,,,,,,,,
518,9/15/03,Ernis Nazalov,,Kyrgyzstan,Kyrgyz Ruhu,,,,,,,,,,,,,,,,,,,,,
519,9/18/03,Parmanand Goyal,,India,Punjab Kesari,,,,,,,,,,,,,,,,,,,,,
520,10/9/03,Aleksei Sidorov,Male,Russia,Tolyatinskoye Obozreniye,Russia,Print,Editor,"Business, Corruption, Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,No,,,,,,,,,
521,10/18/03,Chou Chetharith,Male,Cambodia,Ta Prum,Cambodia,Radio,Producer,Politics,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
522,10/28/03,Ahmed Shawkat,Male,Iraq,Bilah Ittijah,Iraq,Print,Editor,"Politics, War",No,Local,Political Group,Murder,Yes,No,Yes,No,,,,,,,,,
523,10/30/03,Nabil Hussein,,Iraq,Al-Arabiya,Iraqi,,,,,,,,,,,,,,,,,,,,
524,10/30/03,Alahin Hussein,,Iraq,Al-Arabiya,Iraqi,,,,,,,,,,,,,,,,,,,,
525,10/30/03,Ali Adnan,,Iraq,Al-Arabiya,Iraqi,,,,,,,,,,,,,,,,,,,,
526,10/30/03,Ramziya Moushee,,Iraq,Al-Arabiya,Iraqi,,,,,,,,,,,,,,,,,,,,
527,10/30/03,Hassan Alwan,,Iraq,Al-Arabiya,Iraqi,,,,,,,,,,,,,,,,,,,,
528,11/28/03,Dmitry Zavadsky,Male,Belarus,ORT,Belarus,Television,Camera Operator,War,No,Local,Government Officials,Murder,Yes,Yes, Yes,No,,,,,,,,,
529,12/2/03,Nelson Nadura,,Philippines, Radio DYME,,,,,,,,,,,,,,,,,,,,,
530,12/15/03,Marco Boukoukou Boussaga,,Gabon, L'Autre Journal,,,,,,,,,,,,,,,,,,,,,
531,12/29/03,Ersa Siregar,Male,Indonesia,Rajawali Citra Televisi,Indonesia,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,Yes,No,No,,,,,,,,,
532,1/15/04,Manik Saha,Male,Bangladesh,New Age,Bangladesh,Print,Print Reporter,"Crime, Politics",No,Local,Political Group,Murder,Partial,No,Yes,No,,,,,,,,,
533,1/27/04,Duraid Isa Mohammed,Male,Iraq,CNN,Iraq,Television,Producer,War,No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
534,1/27/04,Yasser Khatab,,Iraq,CNN,Iraqi,,,,,,,,,,,,,,,,,,,,
535,1/29/04,Sajid Tanoli,Male,Pakistan,Shumal,Pakistan,Print,Print Reporter,Corruption,No,Local,Government Officials,Murder,Yes,No,No,No,,,,,,,,,
536,2/1/04,Abdel Sattar Abdel Karim,Male,Iraq,Al Ta'akhy,Iraq,Print,Photographer,"Culture, Sports",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
537,2/1/04,Semko Karim Mohyideen,Male,Iraq,freelance,Iraq,Television,Camera Operator,Culture,Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
538,2/1/04,Gharib Mohamed Salih,Male,Iraq,Kurdistan TV,Iraq,Television,Camera Operator,"Culture, Sports",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
539,2/1/04,Ayoub Mohamed,Male,Iraq,Kurdistan TV,Iraq,Television,Camera Operator,"Culture, Sports",Yes,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
540,2/1/04,Haymin Mohamed Salih,Male,Iraq,Qulan TV,Iraq,Television,Camera Operator,"Culture, Sports",No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
541,2/1/04,Safir Nader,Male,Iraq,Qulan TV,Iraq,Television,Camera Operator,"Culture, Sports",No,Local,Political Group,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
542,2/10/04,Carlos Jos_ Guadamuz,Male,Nicaragua,Canal 23,Nicaragua,Television,"Broadcast, Columnist",Politics,No,Local,Local Residents,Murder,Yes,No,No,No,,,,,,,,,
543,2/11/04,Rowell Endrinal,Male,Philippines,DZRC,Philippines,Radio,Columnist,"Crime, Politics",No,Local,Criminal Group,Murder,Yes,No,Yes,No,,,,,,,,,
544,2/21/04,Veeraboina Yadagiri,Male,India,Andhra Prabha,India,Print,Print Reporter,"Corruption, Crime",No,Local,Criminal Group,Murder,Yes,No,Yes,No,,,,,,,,,
545,3/3/04,Heorhiy Chechyk,,Ukraine, Yuta,,,,,,,,,,,,,,,,,,,,,
546,3/5/04,Selwan Abdelghani Medhi al-Niem,,Iraq,Voice of America,Iraqi,,,,,,,,,,,,,,,,,,,,
547,3/7/04,Ricardo Ortega,Male,Haiti,Antena 3,Haiti,Television,Broadcast,Human Rights,No,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
548,3/18/04,Ali Abdel Aziz,Male,Iraq,Al-Arabiya,Iraq,Television,Camera Operator,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
549,3/18/04,Nadia Nasrat,Female,Iraq,Iraq Media Network/Diyala TV,Iraq,Television,Broadcast,War,No,Local,Political Group,Murder,Yes,No,No,No,,,,,,,,,
550,3/18/04,Muhammad Ahmad Sarham,,Iraq,Iraq Media Network,Iraqi,,,,,,,,,,,,,,,,,,,,
551,3/18/04,Najeed Rashid,,Iraq,Iraq Media Network,Iraqi,,,,,,,,,,,,,,,,,,,,
552,3/19/04,Ali al-Khatib,Male,Iraq,Al-Arabiya,UAE,Television,Broadcast,War,No,Foreign,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
553,3/22/04,Mohamed Abu Halima,Male,Israel and the Occupied Palestinian Territory,Al-Najah,Israel Occupied,Radio,Broadcast,Human Rights,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
554,3/26/04,Burhan Mohamed Mazhour,Male,Iraq,ABC,Iraq,Television,Camera Operator,War,Yes,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
555,3/26/04,Omar Kamal,,Iraq,Time,Iraqi,,,,,,,,,,,,,,,,,,,,
556,4/19/04,Asaad Kadhim,Male,Iraq,Al-Iraqiya TV,Iraq,Television,Broadcast,War,No,Local,Military Officials,Crossfire/Combat-Related,,No,No,No,,,,,,,,,
557,4/19/04,Hussein Saleh,,Iraq,Al-Iraqiya  TV,Iraqi,,,,,,,,,,,,,,,,,,,,
558,4/20/04,Asiya Jeelani,Female,India,freelance,India,Print,Print Reporter,Human Rights,Yes,Local,Political Group,Dangerous Assignment,,No,No,No,,,,,,,,,
